t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,cinque,pedestrian,173,0.015,0.009153
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,cinque,cut-in,437,-0.04108,-0.02363
1.79e+09,q9b_insample,0,Q9b pair grid s0,lebowski,pedestrian,291,-0.02141,-0.005175
1.79e+09,q9b_insample,0,Q9b pair grid s0,lebowski,cut-in,394,0.1294,-0.02783
1.79e+09,q9b_insample,0,Q9b pair grid s1,lebowski,pedestrian,291,0.1113,-0.005175
1.79e+09,q9b_insample,0,Q9b pair grid s1,lebowski,cut-in,394,0.1542,-0.02783
1.79e+09,q9b_insample,0,Q9b pair grid s2,lebowski,pedestrian,291,-0.008543,-0.005175
1.79e+09,q9b_insample,0,Q9b pair grid s2,lebowski,cut-in,394,0.04162,-0.02783
1.79e+09,q9b_insample,0,Q9b hard grid,lebowski,pedestrian,291,-0.02768,-0.005175
1.79e+09,q9b_insample,0,Q9b hard grid,lebowski,cut-in,394,0.008142,-0.02783
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,lebowski,pedestrian,291,-0.002137,-0.005175
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,lebowski,cut-in,394,-0.03361,-0.02783
1.79e+09,q9b_insample,1,Q9b pair grid s0,lebowski,pedestrian,268,-0.009876,-0.002274
1.79e+09,q9b_insample,1,Q9b pair grid s0,lebowski,cut-in,338,0.1756,-0.08649
1.79e+09,q9b_insample,1,Q9b pair grid s1,lebowski,pedestrian,268,-0.007576,-0.002274
1.79e+09,q9b_insample,1,Q9b pair grid s1,lebowski,cut-in,338,0.03036,-0.08649
1.79e+09,q9b_insample,1,Q9b pair grid s2,lebowski,pedestrian,268,-0.001283,-0.002274
1.79e+09,q9b_insample,1,Q9b pair grid s2,lebowski,cut-in,338,0.1746,-0.08649
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,pedestrian,268,-0.02819,-0.002274
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,cut-in,338,-0.1015,-0.08649
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,pedestrian,268,-0.002275,-0.002274
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,cut-in,338,-0.08649,-0.08649
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,pedestrian,231,0.009287,-0.00144
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,cut-in,391,0.02876,-0.06223
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,pedestrian,231,0.01945,-0.00144
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,cut-in,391,0.1565,-0.06223
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,pedestrian,231,-0.0147,-0.00144
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,cut-in,391,0.06195,-0.06223
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,pedestrian,231,-0.03187,-0.00144
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,cut-in,391,-0.03157,-0.06223
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,pedestrian,231,-0.002249,-0.00144
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,cut-in,391,-0.06358,-0.06223
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,pedestrian,273,0.01825,-0.0006609
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,cut-in,336,0.2011,-0.05609
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,pedestrian,273,0.006537,-0.0006609
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,cut-in,336,0.04158,-0.05609
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,pedestrian,273,0.01136,-0.0006609
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,cut-in,336,0.07984,-0.05609
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,pedestrian,273,-0.03851,-0.0006609
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,cut-in,336,-0.06259,-0.05609
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,pedestrian,273,-0.000649,-0.0006609
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,cut-in,336,-0.06085,-0.05609
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,pedestrian,173,0.1257,0.01106
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,cut-in,437,0.204,-0.04741
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,pedestrian,173,0.03145,0.01106
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,cut-in,437,0.1839,-0.04741
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,pedestrian,173,0.1742,0.01106
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,cut-in,437,0.2147,-0.04741
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,pedestrian,173,0.005518,0.01106
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,cut-in,437,-0.01976,-0.04741
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,pedestrian,173,0.01977,0.01106
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,cut-in,437,-0.06137,-0.04741
