examinee,scope,n_reactive,flip_rate,flip_lo,flip_hi,tau_model
Q9b pair grid s2 [lebowski],PedestrianCrossing,3,0,0,0,2.208
Q9b pair grid s2 [lebowski],StaticCutIn,123,0.5366,0.3254,0.744,2.208
Q9b pair grid s2 [lebowski],VehicleTurningRoutePedestrian,10,0,0,0,2.208
Q9b hard grid [lebowski],DynamicObjectCrossing,45,0,0,0,3.098
Q9b hard grid [lebowski],HighwayCutIn,102,0.402,0.1204,0.7083,3.098
Q9b hard grid [lebowski],Light,9,0,0,0,3.098
Q9b hard grid [lebowski],OppositeVehicleRunningRedLight,0,,,,3.098
Q9b hard grid [lebowski],ParkingCrossingPedestrian,76,0.01316,0,0.03371,3.098
Q9b hard grid [lebowski],ParkingCutIn,135,0.08148,0.007407,0.1778,3.098
Q9b hard grid [lebowski],PedestrianCrossing,3,0,0,0,3.098
Q9b hard grid [lebowski],StaticCutIn,123,0.3496,0.1667,0.5417,3.098
Q9b hard grid [lebowski],VehicleTurningRoutePedestrian,10,0,0,0,3.098
Q9b pair pooled-linear [lebowski],DynamicObjectCrossing,45,0,0,0,1.481
Q9b pair pooled-linear [lebowski],HighwayCutIn,102,0.8235,0.4857,1,1.481
Q9b pair pooled-linear [lebowski],Light,9,0,0,0,1.481
Q9b pair pooled-linear [lebowski],OppositeVehicleRunningRedLight,0,,,,1.481
Q9b pair pooled-linear [lebowski],ParkingCrossingPedestrian,76,0.01316,0,0.03371,1.481
Q9b pair pooled-linear [lebowski],ParkingCutIn,135,0.4296,0.2517,0.6002,1.481
Q9b pair pooled-linear [lebowski],PedestrianCrossing,3,0,0,0,1.481
Q9b pair pooled-linear [lebowski],StaticCutIn,123,0.5691,0.3571,0.7917,1.481
Q9b pair pooled-linear [lebowski],VehicleTurningRoutePedestrian,10,0,0,0,1.481
